csúcsid;alcsúcsid;MEGNEVEZES;alcsúcsid_megnevezes;MERTEKEGYSEG;kapcsolat
m1;0;páciens neme;nõ;NULL;m1,m24,m25,m63,m70,m86,m219,m264,m283,m321,m342,m501,m760,m761,m1019,m1020,m1046,m320,m1015,m1016,m1030,m1031,m1032,m82,m97,m1064,m714,m1011,m1021,m1023,m1047,m1062,m1065,m1068,m1069,m81,m1008,m1048,m1033,m79,m80,m98,m201,m83,m265,m1039,m1051,m1052,m2001,m1066,m1012,m1022,m1037,m1049,m1014,m1038,m1050,m1054,m2002,m1041,
m1;1;páciens neme;férfi;NULL;m1,m24,m25,m63,m70,m86,m219,m264,m283,m321,m342,m501,m760,m761,m1019,m1020,m1046,m320,m1015,m1016,m1030,m1031,m1032,m82,m97,m1064,m714,m1011,m1021,m1023,m1047,m1062,m1065,m1068,m1069,m81,m1008,m1048,m1033,m79,m80,m98,m201,m83,m265,m1039,m1051,m1052,m2001,m1066,m1012,m1022,m1037,m1049,m1014,m1038,m1050,m1054,m2002,m1041,
m1;2;páciens neme;ismeretlen;NULL;m1,m24,m25,m63,m70,m86,m219,m264,m283,m321,m342,m501,m760,m761,m1019,m1020,m1046,m320,m1015,m1016,m1030,m1031,m1032,m82,m97,m1064,m714,m1011,m1021,m1023,m1047,m1062,m1065,m1068,m1069,m81,m1008,m1048,m1033,m79,m80,m98,m201,m83,m265,m1039,m1051,m1052,m2001,m1066,m1012,m1022,m1037,m1049,m1014,m1038,m1050,m1054,m2002,m1041,
m2;0;életkor;ismeretlen;Év;m2,m24,m25,m84,m97,m217,m264,m270,m321,m502,m564,m760,m1004,m1007,m1055,m1057,m1058,m1072,m2001,m2117,m320,m1015,m1016,m1030,m1031,m1032,m98,m201,m714,m2002,m1033,
m3;0;testmagasság;ismeretlen;cm;m3,m28,m279,m287,m289,m290,m503,m85,m97,m282,m1025,m714,m98,m201,m78,m1011,m1016,m1063,m317,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1015,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,
m4;0;testtömeg;ismeretlen;Kg;m4,m28,m280,m281,m504,m565,m85,m97,m282,m1025,m266,m283,m761,m714,m98,m201,m78,m1011,m1016,m1063,m264,m760,m1064,m317,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1015,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,
m5;0;haskörfogat;ismeretlen;cm;m5,m86,m97,m279,m284,m286,m287,m505,m1019,m1069,m98,m201,m285,m714,m1011,m1016,m1021,m1023,m1047,m1062,m1065,m1068,m219,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1066,m79,m80,m1015,m1014,m1038,m1050,m1054,m1049,m2002,m320,
m6;0;Dohányzik?;nem;NULL;m6,m24,m25,m81,m300,m304,m305,m306,m307,m310,m311,m312,m313,m321,m386,m415,m506,m1012,m1014,m1016,m1021,m1042,m1048,m2001,m320,m1015,m1030,m1031,m1032,m79,m80,m714,m1033,m1049,m2002,
m6;1;Dohányzik?;igen;NULL;m6,m24,m25,m81,m300,m304,m305,m306,m307,m310,m311,m312,m313,m321,m386,m415,m506,m1012,m1014,m1016,m1021,m1042,m1048,m2001,m320,m1015,m1030,m1031,m1032,m79,m80,m714,m1033,m1049,m2002,
m6;2;Dohányzik?;nem ismert;NULL;m6,m24,m25,m81,m300,m304,m305,m306,m307,m310,m311,m312,m313,m321,m386,m415,m506,m1012,m1014,m1016,m1021,m1042,m1048,m2001,m320,m1015,m1030,m1031,m1032,m79,m80,m714,m1033,m1049,m2002,
